epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.7,0.8716,2.86739,1.37048,0.88774,0.19604,0.47823,0.36684,0.70964,3.33303,1.27456,0.000404412,0.000404412,0.000404412
2,432.149,0.85017,2.18169,1.31269,0.60587,0.48902,0.54103,0.36062,0.90919,2.82362,1.44082,0.000804821,0.000804821,0.000804821
3,643.31,0.89401,2.07251,1.32189,0.25588,0.52746,0.36331,0.22378,1.16877,3.21382,1.71315,0.00118873,0.00118873,0.00118873
4,852.373,0.91892,2.02399,1.32769,0.37664,0.31745,0.32727,0.19616,2.07279,3.57363,2.38288,0.00117575,0.00117575,0.00117575
5,1062.13,0.87043,1.89232,1.31568,0.55666,0.40606,0.44765,0.29934,1.00409,2.80925,1.573,0.001151,0.001151,0.001151
6,1279.59,0.88632,1.86656,1.31393,0.59085,0.38554,0.38569,0.28468,1.00487,3.62764,1.47444,0.00112625,0.00112625,0.00112625
7,1489.77,0.85233,1.68906,1.30528,0.60213,0.61711,0.65544,0.45242,1.17305,2.78844,1.62372,0.0011015,0.0011015,0.0011015
8,1699.55,0.85691,1.6252,1.30748,0.68404,0.42155,0.52884,0.36217,0.95067,2.23055,1.46889,0.00107675,0.00107675,0.00107675
9,1908.31,0.79972,1.58511,1.25541,0.70241,0.66986,0.704,0.52073,0.75195,1.86428,1.29008,0.001052,0.001052,0.001052
10,2117.99,0.74086,1.4862,1.21756,0.65284,0.64101,0.63152,0.48855,0.72003,1.82361,1.14656,0.00102725,0.00102725,0.00102725
11,2327.51,0.77531,1.51284,1.24286,0.60131,0.56588,0.55237,0.41642,1.00842,2.2469,1.48183,0.0010025,0.0010025,0.0010025
12,2536.15,0.7387,1.44194,1.21865,0.70508,0.7147,0.75377,0.58087,0.782,1.52051,1.24277,0.00097775,0.00097775,0.00097775
13,2744.56,0.73201,1.38629,1.19979,0.68018,0.68215,0.73504,0.5759,0.70891,1.45203,1.20624,0.000953,0.000953,0.000953
